*** Start ***
*** SYS ARGS ***
Sensor row length    s_n : 16
Sensor row spacing   s_d : 5 m
Sampling period        T : 25 s
*** Initializing sensors ***
*** Initializing grid ***
Grid dimensions: (75, 75) m
Grid origin: (0, 0) m
Grid ticks: 5 m
Grid type: linspace
>> Sensor 0 coordinates: (-37.5, -37.5)
>> Sensor 1 coordinates: (-37.5, -32.5)
>> Sensor 2 coordinates: (-37.5, -27.5)
>> Sensor 3 coordinates: (-37.5, -22.5)
>> Sensor 4 coordinates: (-37.5, -17.5)
>> Sensor 5 coordinates: (-37.5, -12.5)
>> Sensor 6 coordinates: (-37.5, -7.5)
>> Sensor 7 coordinates: (-37.5, -2.5)
>> Sensor 8 coordinates: (-37.5, 2.5)
>> Sensor 9 coordinates: (-37.5, 7.5)
>> Sensor 10 coordinates: (-37.5, 12.5)
>> Sensor 11 coordinates: (-37.5, 17.5)
>> Sensor 12 coordinates: (-37.5, 22.5)
>> Sensor 13 coordinates: (-37.5, 27.5)
>> Sensor 14 coordinates: (-37.5, 32.5)
>> Sensor 15 coordinates: (-37.5, 37.5)
>> Sensor 16 coordinates: (-32.5, -37.5)
>> Sensor 17 coordinates: (-32.5, -32.5)
>> Sensor 18 coordinates: (-32.5, -27.5)
>> Sensor 19 coordinates: (-32.5, -22.5)
>> Sensor 20 coordinates: (-32.5, -17.5)
>> Sensor 21 coordinates: (-32.5, -12.5)
>> Sensor 22 coordinates: (-32.5, -7.5)
>> Sensor 23 coordinates: (-32.5, -2.5)
>> Sensor 24 coordinates: (-32.5, 2.5)
>> Sensor 25 coordinates: (-32.5, 7.5)
>> Sensor 26 coordinates: (-32.5, 12.5)
>> Sensor 27 coordinates: (-32.5, 17.5)
>> Sensor 28 coordinates: (-32.5, 22.5)
>> Sensor 29 coordinates: (-32.5, 27.5)
>> Sensor 30 coordinates: (-32.5, 32.5)
>> Sensor 31 coordinates: (-32.5, 37.5)
>> Sensor 32 coordinates: (-27.5, -37.5)
>> Sensor 33 coordinates: (-27.5, -32.5)
>> Sensor 34 coordinates: (-27.5, -27.5)
>> Sensor 35 coordinates: (-27.5, -22.5)
>> Sensor 36 coordinates: (-27.5, -17.5)
>> Sensor 37 coordinates: (-27.5, -12.5)
>> Sensor 38 coordinates: (-27.5, -7.5)
>> Sensor 39 coordinates: (-27.5, -2.5)
>> Sensor 40 coordinates: (-27.5, 2.5)
>> Sensor 41 coordinates: (-27.5, 7.5)
>> Sensor 42 coordinates: (-27.5, 12.5)
>> Sensor 43 coordinates: (-27.5, 17.5)
>> Sensor 44 coordinates: (-27.5, 22.5)
>> Sensor 45 coordinates: (-27.5, 27.5)
>> Sensor 46 coordinates: (-27.5, 32.5)
>> Sensor 47 coordinates: (-27.5, 37.5)
>> Sensor 48 coordinates: (-22.5, -37.5)
>> Sensor 49 coordinates: (-22.5, -32.5)
>> Sensor 50 coordinates: (-22.5, -27.5)
>> Sensor 51 coordinates: (-22.5, -22.5)
>> Sensor 52 coordinates: (-22.5, -17.5)
>> Sensor 53 coordinates: (-22.5, -12.5)
>> Sensor 54 coordinates: (-22.5, -7.5)
>> Sensor 55 coordinates: (-22.5, -2.5)
>> Sensor 56 coordinates: (-22.5, 2.5)
>> Sensor 57 coordinates: (-22.5, 7.5)
>> Sensor 58 coordinates: (-22.5, 12.5)
>> Sensor 59 coordinates: (-22.5, 17.5)
>> Sensor 60 coordinates: (-22.5, 22.5)
>> Sensor 61 coordinates: (-22.5, 27.5)
>> Sensor 62 coordinates: (-22.5, 32.5)
>> Sensor 63 coordinates: (-22.5, 37.5)
>> Sensor 64 coordinates: (-17.5, -37.5)
>> Sensor 65 coordinates: (-17.5, -32.5)
>> Sensor 66 coordinates: (-17.5, -27.5)
>> Sensor 67 coordinates: (-17.5, -22.5)
>> Sensor 68 coordinates: (-17.5, -17.5)
>> Sensor 69 coordinates: (-17.5, -12.5)
>> Sensor 70 coordinates: (-17.5, -7.5)
>> Sensor 71 coordinates: (-17.5, -2.5)
>> Sensor 72 coordinates: (-17.5, 2.5)
>> Sensor 73 coordinates: (-17.5, 7.5)
>> Sensor 74 coordinates: (-17.5, 12.5)
>> Sensor 75 coordinates: (-17.5, 17.5)
>> Sensor 76 coordinates: (-17.5, 22.5)
>> Sensor 77 coordinates: (-17.5, 27.5)
>> Sensor 78 coordinates: (-17.5, 32.5)
>> Sensor 79 coordinates: (-17.5, 37.5)
>> Sensor 80 coordinates: (-12.5, -37.5)
>> Sensor 81 coordinates: (-12.5, -32.5)
>> Sensor 82 coordinates: (-12.5, -27.5)
>> Sensor 83 coordinates: (-12.5, -22.5)
>> Sensor 84 coordinates: (-12.5, -17.5)
>> Sensor 85 coordinates: (-12.5, -12.5)
>> Sensor 86 coordinates: (-12.5, -7.5)
>> Sensor 87 coordinates: (-12.5, -2.5)
>> Sensor 88 coordinates: (-12.5, 2.5)
>> Sensor 89 coordinates: (-12.5, 7.5)
>> Sensor 90 coordinates: (-12.5, 12.5)
>> Sensor 91 coordinates: (-12.5, 17.5)
>> Sensor 92 coordinates: (-12.5, 22.5)
>> Sensor 93 coordinates: (-12.5, 27.5)
>> Sensor 94 coordinates: (-12.5, 32.5)
>> Sensor 95 coordinates: (-12.5, 37.5)
>> Sensor 96 coordinates: (-7.5, -37.5)
>> Sensor 97 coordinates: (-7.5, -32.5)
>> Sensor 98 coordinates: (-7.5, -27.5)
>> Sensor 99 coordinates: (-7.5, -22.5)
>> Sensor 100 coordinates: (-7.5, -17.5)
