*** Start ***
*** SYS ARGS ***
Monte carlo runs       N : 5
Sensor row length    s_n : 14
Sensor row spacing   s_d : 20 m
Sampling period        T : 250 s
>> BEGINNING MC
>> MC0
*** Initializing sensors ***
*** Initializing grid ***
Grid dimensions: (260, 260) m
Grid origin: (0, 0) m
Grid ticks: 20 m
Grid type: range
>> Sensor 0 coordinates: (-130.0, -130.0)
>> Sensor 1 coordinates: (-130.0, -110.0)
>> Sensor 2 coordinates: (-130.0, -90.0)
>> Sensor 3 coordinates: (-130.0, -70.0)
>> Sensor 4 coordinates: (-130.0, -50.0)
>> Sensor 5 coordinates: (-130.0, -30.0)
>> Sensor 6 coordinates: (-130.0, -10.0)
>> Sensor 7 coordinates: (-130.0, 10.0)
>> Sensor 8 coordinates: (-130.0, 30.0)
>> Sensor 9 coordinates: (-130.0, 50.0)
>> Sensor 10 coordinates: (-130.0, 70.0)
>> Sensor 11 coordinates: (-130.0, 90.0)
>> Sensor 12 coordinates: (-130.0, 110.0)
>> Sensor 13 coordinates: (-130.0, 130.0)
>> Sensor 14 coordinates: (-110.0, -130.0)
>> Sensor 15 coordinates: (-110.0, -110.0)
>> Sensor 16 coordinates: (-110.0, -90.0)
>> Sensor 17 coordinates: (-110.0, -70.0)
>> Sensor 18 coordinates: (-110.0, -50.0)
>> Sensor 19 coordinates: (-110.0, -30.0)
>> Sensor 20 coordinates: (-110.0, -10.0)
>> Sensor 21 coordinates: (-110.0, 10.0)
>> Sensor 22 coordinates: (-110.0, 30.0)
>> Sensor 23 coordinates: (-110.0, 50.0)
>> Sensor 24 coordinates: (-110.0, 70.0)
>> Sensor 25 coordinates: (-110.0, 90.0)
>> Sensor 26 coordinates: (-110.0, 110.0)
>> Sensor 27 coordinates: (-110.0, 130.0)
>> Sensor 28 coordinates: (-90.0, -130.0)
>> Sensor 29 coordinates: (-90.0, -110.0)
>> Sensor 30 coordinates: (-90.0, -90.0)
>> Sensor 31 coordinates: (-90.0, -70.0)
>> Sensor 32 coordinates: (-90.0, -50.0)
>> Sensor 33 coordinates: (-90.0, -30.0)
>> Sensor 34 coordinates: (-90.0, -10.0)
>> Sensor 35 coordinates: (-90.0, 10.0)
>> Sensor 36 coordinates: (-90.0, 30.0)
>> Sensor 37 coordinates: (-90.0, 50.0)
>> Sensor 38 coordinates: (-90.0, 70.0)
